mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"pince enrochement","https://www.batamat.com/Batamat/detail_produit/195","1","29","110","110","","1.34","1","","9","2026-06-15","true","false","true","false","false","false","",""
"volvo ecr 58","https://www.batamat.com/assets/pdf/3149.pdf","1","29","110","110","","0.96","0.18","","18","2026-06-13","","","","","","","",""
"dumper 3 tonnes","https://www.batamat.com/Batamat/detail_produit/54","1","25","90","90","","","0.84","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"location surfaceuse","https://www.batamat.com/Batamat/detail_produit/196","1","25","90","90","","0.75","0.92","","36","OLDER_THAN_2_MONTHS","","","","","","","",""
"document caces","https://www.batamat.com/Batamat/detail_actu/19","1","21","70","70","","2.44","0.03","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"benne preneuse pelle","https://www.batamat.com/Batamat/detail_produit/193","1","30","110","110","","0.05","0.41","","30","2026-06-12","true","false","false","false","false","false","",""
"manitou 1840","https://www.batamat.com/assets/pdf/3221.pdf","1","30","110","110","","0.27","0.21","","17","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"nacelles articulées","https://www.batamat.com/Batamat/detail_produit/114","1","48","1000","1000","2","1.49","0.19","0.002","24","2026-06-16","true","false","false","false","false","false","",""
"location camion nacelle 10m","https://www.batamat.com/Batamat/detail_produit/129","1","27","90","90","","1.33","0.21","","7","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pelle 4t","https://www.batamat.com/Batamat/sub_categorie/22","1","27","90","90","","0.4297","0.9001","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"location materiels btp","https://www.batamat.com/","1","26","84","1300","151","2.15","0.08","1.7976","9","2026-07-07","false","false","false","false","true","false","",""
"minipelle 1.5t","https://www.batamat.com/Batamat/detail_produit/57","1","35","320","320","","0.89","1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 1t5","https://www.batamat.com/Batamat/detail_produit/57","1","34","300","590","260","0.39","1","0.8667","20","2026-06-16","false","false","true","false","false","false","",""
"louer un marteau piqueur","https://www.batamat.com/Batamat/detail_produit/209","1","31","260","260","","0.34","0.93","","7","2026-06-06","true","false","true","false","false","false","",""
"location mini-pelle brh","https://www.batamat.com/Batamat/detail_produit/88","1","24","70","70","","0.44","0.2","","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"ou passer son caces","https://www.batamat.com/Batamat/detail_actu/19","1","8","5","70","","1.64","0.63","","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location manitou tarif","https://www.batamat.com/Batamat/detail_produit/62","1","37","320","320","","0.8","0.25","","26","2026-06-13","true","false","false","false","false","false","",""
"isermat vif","https://www.batamat.com/","1","33","260","260","","","0","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"manitou mt 1840 fiche technique","https://www.batamat.com/assets/pdf/3221.pdf","1","18","30","30","","","0.0286","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"location groupe électrogène 20 kva","https://www.batamat.com/Batamat/detail_produit/176","1","18","30","30","","2.08","1","","15","OLDER_THAN_2_MONTHS","","","","","","","",""
"pièces détachées pour compresseur atlas copco pdf","https://www.batamat.com/assets/pdf/3836.pdf","1","25","70","70","","2.042","0.5946","","14","OLDER_THAN_2_MONTHS","","","","","","","",""
"chargeuse mustang","https://www.batamat.com/Batamat/detail_produit/28","1","25","70","70","","0.1333","0.3634","","15","OLDER_THAN_2_MONTHS","","","","","","","",""
"location matériels btp","https://www.batamat.com/","1","29","84","1300","690","2.15","0.08","8.2143","28","2026-07-01","false","false","false","false","true","false","",""
"myben","https://www.batamat.com/Batamat/detail_actu/41","1","34","260","260","4060","","","15.6154","8","2026-06-08","true","false","false","false","false","false","",""
"tarif location nacelle 15m","https://www.batamat.com/Batamat/detail_produit/102","1","26","70","70","","1.2","0.25","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"mustang chargeur","https://www.batamat.com/Batamat/detail_produit/28","1","15","20","20","","0.02","0.37","","18","2026-07-25","true","false","false","false","false","false","",""
"dumper location prix","https://www.batamat.com/Batamat/detail_produit/52","1","19","30","30","","0.61","0.66","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelles à louer","https://www.batamat.com/Batamat/detail_produit/100","1","20","32","590","94","1.07","0.35","2.9375","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"telescopique location","https://www.batamat.com/Batamat/detail_produit/62","1","27","70","70","","1.45","0.26","","30","2026-07-18","true","false","false","false","false","false","",""
"stockbat location","https://www.batamat.com/","1","27","70","70","","","0","","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location disqueuse","https://www.batamat.com/Batamat/detail_produit/128","1","36","260","260","224","0.43","0.99","0.8615","18","2026-06-14","true","false","true","false","false","false","",""
"camion nacelle 16m","https://www.batamat.com/Batamat/detail_produit/104","1","28","70","70","","1.61","0.02","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"prix location nacelle 18m","https://www.batamat.com/Batamat/detail_produit/114","1","11","10","10","","0.7564","0.07","","30","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location mini pelle petite largeur","https://www.batamat.com/Batamat/detail_produit/56","1","11","10","10","","1.41","0.17","","29","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"marteau hydraulique pour mini pelle","https://www.batamat.com/Batamat/detail_produit/88","1","11","10","10","","0.22","0.91","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix d'une nacelle en location","https://www.batamat.com/Batamat/detail_produit/114","1","31","200","2400","1","0.53","0.3","0.005","23","2026-07-05","true","false","true","false","false","false","",""
"location nacelle arras","https://www.batamat.com/Batamat/detail_produit/229","1","20","30","30","","1.694","0.312","","1","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"chariot télescopique 6m","https://www.batamat.com/Batamat/detail_produit/62","1","29","70","70","","1.46","1","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle 26m","https://www.batamat.com/Batamat/detail_produit/118","1","29","70","70","","0.06","0.16","","32","OLDER_THAN_2_MONTHS","","","","","","","",""
"mouton diesel","https://www.batamat.com/Batamat/detail_produit/94","1","16","20","20","","","0.03","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location nacelle ciseaux 12m","https://www.batamat.com/Batamat/detail_produit/61","1","16","20","20","","2.5071","0.6134","","29","OLDER_THAN_2_MONTHS","","","","","","","",""
"location pilonneuse prix","https://www.batamat.com/Batamat/detail_produit/63","1","16","20","20","","0.22","0.32","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"caces permis de conduire obligatoire","https://www.batamat.com/Batamat/detail_actu/19","1","23","50","50","","","0.02","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location ponceuse surfaceuse","https://www.batamat.com/Batamat/detail_produit/196","1","30","70","70","","0.64","0.85","","33","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle à bras","https://www.batamat.com/Batamat/detail_produit/116","1","24","50","50","","1.45","0.83","","31","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini nacelle location","https://www.batamat.com/Batamat/detail_produit/102","1","17","20","20","","0.6842","0.6466","","31","OLDER_THAN_2_MONTHS","","","","","","","",""
"formation professionnelle caces","https://www.batamat.com/Batamat/detail_actu/19","1","12","10","10","","0.9624","0.29","","26","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"location mini pelle 2.5t","https://www.batamat.com/Batamat/detail_produit/59","1","23","45","50","","1.18","0.32","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle 40 mètres","https://www.batamat.com/Batamat/detail_produit/119","1","36","210","210","40","0.86","0.14","0.1905","28","2026-06-13","","","","","","","",""
"le caces","https://www.batamat.com/Batamat/detail_actu/19","1","44","492","590","3030","1.85","0.09","6.1585","29","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"mini pelle 800 kg prix","https://www.batamat.com/Batamat/detail_produit/56","1","26","50","50","","0.3875","0.994","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"comment fonctionne une mini pelle","https://www.batamat.com/Batamat/detail_actu/17","1","18","20","20","","","","","16","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"caces sans permis de conduire","https://www.batamat.com/Batamat/detail_actu/19","1","18","20","20","","2.4446","0.1805","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"hauteur camion nacelle","https://www.batamat.com/Batamat/detail_produit/106","1","18","20","20","","","0.0952","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"balayeuse sur godet","https://www.batamat.com/Batamat/detail_produit/51","1","18","20","20","","0.2549","1","","11","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"mini chargeur mustang","https://www.batamat.com/Batamat/detail_produit/28","1","18","20","20","","","0.4683","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"bomag bw 120","https://www.batamat.com/Batamat/detail_produit/91","1","27","50","50","","","0.08","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle 12 m","https://www.batamat.com/Batamat/detail_produit/102","1","28","50","50","","1.21","0.49","","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle electrique","https://www.batamat.com/Batamat/detail_produit/102","1","28","50","50","","2.12","0.96","","31","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle 40m loxam","https://www.batamat.com/Batamat/detail_produit/119","1","28","50","50","","","0.05","","19","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 1t5 dimension","https://www.batamat.com/Batamat/detail_produit/57","1","19","20","20","","0.2765","0.6857","","21","OLDER_THAN_2_MONTHS","false","false","false","true","false","false","",""
"nacelle ciseaux 12m","https://www.batamat.com/Batamat/detail_produit/121","1","42","390","390","459","1.48","1","1.1769","31","2026-07-26","true","true","false","false","false","false","",""
"rigoureuse synonyme","https://www.batamat.com/Batamat/actu","1","48","491","5400","4","","0","0.0081","61","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle articulée electrique","https://www.batamat.com/Batamat/detail_produit/100","1","29","50","50","","0.3944","0.575","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"dumper 1t5","https://www.batamat.com/Batamat/detail_produit/53","1","29","50","50","","0.2485","1","","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location nacelle valenciennes","https://www.batamat.com/Batamat/detail_produit/104","1","20","20","20","","1.56","0.46","","17","2026-07-26","true","false","false","false","true","false","",""
"nacelle articulée 26m","https://www.batamat.com/Batamat/detail_produit/118","1","30","50","50","","0.25","0.12","","7","2026-07-26","true","false","false","false","false","false","",""
"location découpeuse","https://www.batamat.com/Batamat/detail_produit/128","1","20","20","20","","","0.67","","33","2026-07-17","false","false","true","false","false","false","",""
"christian matériels merville","https://www.batamat.com/Batamat/detail_produit/176","1","32","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"mini pelle sur chenilles","https://www.batamat.com/Batamat/detail_produit/56","1","30","50","50","","1.7","1","","31","OLDER_THAN_2_MONTHS","","","","","","","",""
"pince d'enrochement","https://www.batamat.com/Batamat/detail_produit/195","1","26","40","40","","0.8334","0.9675","","26","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"carottage electrique","https://www.batamat.com/Batamat/detail_produit/226","1","33","140","140","","0.63","1","","27","2026-06-15","","","","","","","",""
"marteau electrique","https://www.batamat.com/Batamat/detail_actu/28","1","22","32","390","710","0.21","1","22.1875","31","2026-06-12","true","false","true","false","false","false","",""
"pelle 800 tonnes","https://www.batamat.com/Batamat/detail_produit/56","1","33","140","140","","","0.14","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location longue durée mini pelle","https://www.batamat.com/Batamat/detail_produit/60","1","21","30","30","","1.0865","0.8071","","13","OLDER_THAN_2_MONTHS","","","","","","","",""
