sous-domaine,url,top_3_mcs,trafic,mcs,positionnés,perdus,total_top_3,total_top_10,total_top_50,prem._vue_serp,der._vue_serp
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/chariot-elevateur-electrique-25t/","","1","2","0","2","0","0","0","2025-07-07","2025-09-24"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-palan-a-cable-electrique-900w-250-500kg/","","1","4","0","4","0","0","0","2025-07-02","2025-08-20"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/palan-a-chaine-manuel-1-5t","","1","2","0","2","0","0","0","2025-07-07","2025-07-07"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/manutention/chariots-manuels-diables/les-diables-pour-votre-entrepot","","1","1","0","1","0","0","0","2025-07-11","2025-07-30"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/porte-palan-05-tonne/","","1","1","0","1","0","0","0","2025-07-25","2025-09-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/palan-chaine-3-m-2-crochets-de-2-tonnes","","1","1","0","1","0","0","0","2025-09-04","2025-09-04"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-a-cable-electrique-250-500-kg/","","1","4","1","3","0","0","0","2025-10-16","2026-01-01"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/accessoire/crics/crics-et-chariots-elevateurs/","","1","2","2","0","0","0","1","2025-11-22","2026-01-16"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/elevateur-magnetique-a-aimant-en-acier-capacite-poids-1500-kg/","","1","1","0","1","0","0","0","2025-07-19","2025-07-19"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/diable-chariot/meilleurs-diables-pliants-pour-vos-besoins/","","1","5","2","3","0","0","0","2025-07-25","2026-05-03"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/chariot-elevateur-a-gaz-35t/","","1","1","0","1","0","0","0","2025-07-02","2025-07-02"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/quest-ce-quun-preparateur-de-commandes/","","1","2","0","2","0","0","0","2025-07-07","2025-07-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-a-cable-electrique-125-250kg-600w/","","1","1","0","1","0","0","0","2025-07-02","2025-07-02"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/griffe-poutrelle-pince-a-poutre-5tonnes","","1","1","0","1","0","0","0","2025-08-14","2025-08-14"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/table-elevatrice/pont-roulant-a-double-poutre-la-solution-robuste-pour-les-charges-lourdes/","","1","3","2","1","0","0","0","2025-12-21","2026-02-08"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/5-astuces-pour-trouver-un-transpalette-pas-cher/","","1","2","1","1","0","0","1","2025-12-23","2025-12-24"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/ou-acheter-un-transpalette-guide-des-4-meilleurs-fournisseurs/","","1","2","1","1","0","0","1","2026-01-02","2026-01-05"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/pourquoi-acheter-un-chariot-elevateur","","1","1","0","1","0","0","1","2025-07-25","2025-07-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/accessoire/crics/crics-et-chariots-elevateurs","","1","1","0","1","0","1","1","2025-07-20","2025-07-20"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/5-raisons-de-passer-de-lice-aux-chariots-elevateurs-electriques/","","1","1","0","1","0","0","1","2025-07-04","2025-07-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/chariots-elevateurs-doccasion-les-meilleurs-conseils-pour-trouver-le-bon-modele-pour-votre-travail/","","1","1","0","1","0","0","1","2025-07-10","2025-07-29"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/rayonnage/conteneur-grillage-securite-en-mouvement/","","1","1","0","1","0","0","1","2025-08-04","2025-08-04"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/rayonnage/chariot-grillage-robustesse-et-flexibilite/","","1","1","0","1","0","0","1","2025-08-21","2025-08-21"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/nacelle/location-camion-nacelle-rentforce/","","1","1","1","0","0","0","1","2025-10-07","2025-10-07"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/blog/","","1","1","0","1","0","0","1","2025-10-07","2025-10-07"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/entreprise/maintenance-industrielle-a-angers-un-levier-pour-la-performance-des-entreprises/","","1","1","1","0","0","0","1","2025-10-07","2026-01-03"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/levage/potence-conforme-en-795-b-p/","","1","1","0","1","0","1","1","2026-01-05","2026-01-17"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/securite/atelier-au-chantier-equipements-pour-la-performance-et-la-securite/","","1","1","1","0","0","0","0","2026-01-05","2026-01-28"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/transpalette/comment-financer-lachat-dun-transpalette-professionnel/","","1","2","1","1","0","0","0","2026-01-05","2026-01-21"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/chariot-elevateur-electrique-5t/","","1","1","1","0","0","0","1","2026-01-24","2026-01-24"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/rayonnage/les-5-avantages-du-rayonnage-industriel-pour-votre-entrepot/","","1","1","1","0","0","0","1","2026-04-22","2026-04-22"
